# Source Font Path: /home/julian/Downloads/static/OpenSans-Medium.ttf
# Output Texture Size: 512
# Encoding: unicode

# Char Code Ranges:(low, high+1) []
# Glyph Bitmap Size for Sampling: 1024
# Ratio Spread to Glyph: 0.2
# Glyph Scaling from Sampling to Packed Signed Dist: 0.0123581
# Associated Texture File: here.png
#	Code Point	Glyph Name	Width	Height	Horizontal Bearing X	Horizontal Bearing Y	Horizontal Advance	Vertical Bearing X	Vertical Bearing Y	Vertical Advance	Texture Coord X	Texture Coord Y	Texture Width	Texture Height
SPREAD IN TEXTURE
0.00390625
SPREAD IN FONT METRICS
0.158045
GLYPHS
0X00000001	NULL	0	0	0	0	0	0	0.680664	1.3623	0.00390625	0.00390625	0	0
0X00000002	CR	0	0	0	0	0.259766	-0.129883	0.680664	1.3623	0.0117188	0.00390625	0	0
0X00000003	space	0	0	0	0	0.259766	-0.129883	0.680664	1.3623	0.0195312	0.00390625	0	0
0X00000004	exclam	0.129883	0.723633	0.0693359	0.713867	0.269531	-0.0654297	0.318359	1.3623	0.0273438	0.00390625	0.0032102	0.0178854
0X00000005	quotedbl	0.286133	0.257812	0.0654297	0.713867	0.416992	-0.142578	0.551758	1.3623	0.0390625	0.00390625	0.00707209	0.00637212
0X00000006	numbersign	0.59668	0.713867	0.0244141	0.713867	0.646484	-0.298828	0.323242	1.3623	0.0546875	0.00390625	0.0147476	0.017644
0X00000007	dollar	0.459961	0.816406	0.0566406	0.758789	0.572266	-0.229492	0.272461	1.3623	0.078125	0.00390625	0.0113684	0.0201784
0X00000008	percent	0.755859	0.735352	0.0449219	0.724609	0.845703	-0.37793	0.3125	1.3623	0.0976562	0.00390625	0.0186819	0.018175
0X00000009	ampersand	0.679688	0.734375	0.0507812	0.724609	0.734375	-0.316406	0.313477	1.3623	0.125	0.00390625	0.0167992	0.0181509
0X0000000A	quotesingle	0.100586	0.257812	0.0654297	0.713867	0.231445	-0.0498047	0.551758	1.3623	0.150391	0.00390625	0.00248609	0.00637212
0X0000000B	parenleft	0.236328	0.87207	0.0400391	0.713867	0.306641	-0.113281	0.244141	1.3623	0.162109	0.00390625	0.00584111	0.0215542
0X0000000C	parenright	0.236328	0.87207	0.0302734	0.713867	0.306641	-0.123047	0.244141	1.3623	0.175781	0.00390625	0.00584111	0.0215542
0X0000000D	asterisk	0.467773	0.451172	0.0400391	0.759766	0.549805	-0.234375	0.455078	1.3623	0.189453	0.00390625	0.0115615	0.0111512
0X0000000E	plus	0.473633	0.483398	0.0478516	0.594727	0.572266	-0.238281	0.439453	1.3623	0.208984	0.00390625	0.0117064	0.0119477
0X0000000F	comma	0.15625	0.245117	0.0380859	0.116211	0.265625	-0.0947266	0.557617	1.3623	0.228516	0.00390625	0.00386189	0.00605835
0X00000010	hyphen	0.248047	0.0849609	0.0371094	0.311523	0.322266	-0.124023	0.637695	1.3623	0.240234	0.00390625	0.00613076	0.0020999
0X00000011	period	0.129883	0.137695	0.0693359	0.12793	0.268555	-0.0654297	0.612305	1.3623	0.255859	0.00390625	0.0032102	0.00340329
0X00000012	slash	0.360352	0.713867	0.00878906	0.713867	0.378906	-0.180664	0.323242	1.3623	0.267578	0.00390625	0.00890649	0.017644
0X00000013	zero	0.477539	0.735352	0.046875	0.724609	0.572266	-0.239258	0.3125	1.3623	0.285156	0.00390625	0.0118029	0.018175
0X00000014	one	0.285156	0.713867	0.0820312	0.713867	0.572266	-0.204102	0.323242	1.3623	0.306641	0.00390625	0.00704795	0.017644
0X00000015	two	0.475586	0.724609	0.046875	0.724609	0.572266	-0.239258	0.318359	1.3623	0.322266	0.00390625	0.0117546	0.0179095
0X00000016	three	0.474609	0.735352	0.0429688	0.724609	0.572266	-0.243164	0.3125	1.3623	0.34375	0.00390625	0.0117305	0.018175
0X00000017	four	0.533203	0.713867	0.0205078	0.713867	0.572266	-0.265625	0.323242	1.3623	0.365234	0.00390625	0.0131787	0.017644
